,od 01.01.2017 do 31.12.2017 (000’ PLN)
Przychody netto ze sprzedaży,91
Zysk (strata) na działalności operacyjnej,-863
Zysk (strata) przed opodatkowaniem,(17 932)
Zysk (strata) netto,(14 709)
Przepływy środków pieniężnych z działalności operacyjnej,-835
Przepływy środków pieniężnych z działalności inwestycyjnej,-)
Przepływy środków pieniężnych z działalności finansowej,806
Zwiększenie/zmniejszenie netto środków pieniężnych i ich ekwiwalentów,-29
średnia ważona liczba akcji zwykłych (w szt.),22 353 000
Zysk/strata na akcje w trakcie okresu (w zł na jedną akcję),"-0,658"
