,na 31.12.2014 (000’ PLN)
Aktywa razem,36 785
Aktywa obrotowe,7 037
Aktywa razem,43 822
Zobowiązania i rezerwy na zobowiązania,8 682
Zobowiązania długoterminowe,347
Zobowiązania krótkoterminowe,8 335
Kapitał własny,35 140
Kapitał zakładowy,22 353
Pasywa razem,43 822
Wartość księgowa na jedną akcję (w zł),"1,5721"
Zadeklarowana lub wypłacona dywidenda na jedną akcję,0
