,od 01.01.2016 do 31.12.2016 (000’ PLN)
Przychody netto ze sprzedaży,197
Zysk (strata) na działalności operacyjnej,(2 361)
Zysk (strata) przed opodatkowaniem,(3 237)
Zysk (strata) netto,(3 747)
Przepływy środków pieniężnych z działalności operacyjnej,(1 713)
Przepływy środków pieniężnych z działalności inwestycyjnej,(1 004)
Przepływy środków pieniężnych z działalności finansowej,2 350
Zwiększenie/zmniejszenie netto środków pieniężnych i ich ekwiwalentów,-367
średnia ważona liczba akcji zwykłych (w szt.),22 353 000
Zysk/strata na akcje w trakcie okresu (w zł na jedną akcję),"-0,1676"
