,na 31.12.2017 (000’ PLN)
Aktywa trwałe,14 834
Aktywa obrotowe,71
Aktywa razem,14 905
Zobowiązania długoterminowe,-
Zobowiązania krótkoterminowe,5 479
Kapitał własny,9 426
Kapitał podstawowy,22 353
Pasywa razem,14 905
Wartość księgowa na jedną akcję (w zł),"0,4217"
Zadeklarowana lub wypłacona dywidenda na jedną akcję,0
