,od 01.01.2014 do 31.12.2014 (000’ PLN)
Przychody netto ze sprzedaży,81
Zysk (strata) na działalności operacyjnej,-1 295
Zysk (strata) przed opodatkowaniem,-554
Zysk (strata) netto,-691
Przepływy środków pieniężnych z działalności operacyjnej,-801
Przepływy środków pieniężnych z działalności inwestycyjnej,799
Przepływy środków pieniężnych z działalności finansowej,-12
Zwiększenie/zmniejszenie netto środków pieniężnych i ich ekwiwalentów,-14
średnia ważona liczba akcji zwykłych (w szt.),22 353 000
Zysk/strata na akcje w trakcie okresu (w zł na jedną akcję),"-0,0309"
