,na 31.12.2017 (000’ PLN)
Aktywa trwałe,14 641
Aktywa obrotowe,391
Aktywa razem,15 032
Zobowiązania długoterminowe,1 064
Zobowiązania krótkoterminowe,6 230
Kapitał własny,7 738
Kapitał podstawowy,22 353
Pasywa razem,15 032
Wartość księgowa na jedną akcję (w zł),"0,3462"
Zadeklarowana lub wypłacona dywidenda na jedną akcję,0
