,na 31.12.2018 (000' PLN)
Aktywa trwałe,2 101
Aktywa obrotowe,12 127
"Aktywa, razem",14 228
Zobowiązania długoterminowe,990
Zobowiązania krótkoterminowe,5 626
Kapitał własny ,7 612
Kapitał podstawowy,22 353
"Pasywa, razem",14 228
Wartość księgowa na jedną akcję w (zł),"0,3405"
