,od 01.01.2018 do 31.12.2018 (000’ PLN)
Przychody ze sprzedaży,507
Zysk (strata) na działalności operacyjnej,-2 757
Zysk (strata) przed opodatkowaniem,134
Zysk (strata) netto,-2
Przepływy środków pieniężnych z działalności operacyjnej,-1 541
Przepływy środków pieniężnych z działalności inwestycyjnej,153
Przepływy środków pieniężnych z działalności finansowej,1 391
Zwiększenie/zmniejszenie netto środków pieniężnych i ich ekwiwalentów,3
średnia ważona liczba akcji zwykłych (w szt.),22 353 000
Zysk/strata na akcje w trakcie okresu (w zł na jedną akcję),"-0,0002"
