,od 01.01.2014 do 31.12.2014 (000’ PLN)
Przychody netto ze sprzedaży,21 911
Zysk (strata) na działalności operacyjnej,1 593
Zysk (strata) przed opodatkowaniem,-42
Zysk (strata) netto,-36
Przepływy środków pieniężnych z działalności operacyjnej,1 431
Przepływy środków pieniężnych z działalności inwestycyjnej,-2 081
Przepływy środków pieniężnych z działalności finansowej,-171
Zwiększenie/zmniejszenie netto środków pieniężnych i ich ekwiwalentów,-821
średnia ważona liczba akcji zwykłych (w szt.),22 353 000
Zysk/strata na akcje w trakcie okresu (w zł na jedną akcję),"0,0101"
