,na 31.12.2016 (000’ PLN)
Aktywa trwałe,32 645
Aktywa obrotowe,2 175
Aktywa razem,34 820
Zobowiązania długoterminowe,3 342
Zobowiązania krótkoterminowe,5 874
Kapitał własny,25 604
Kapitał podstawowy,22 353
Pasywa razem,34 820
Wartość księgowa na jedną akcję (w zł),"1,1454"
Zadeklarowana lub wypłacona dywidenda na jedną akcję,0
