,od 01.01.2015 do 31.12.2015 (000’ PLN)
Przychody netto ze sprzedaży,78
Zysk (strata) na działalności operacyjnej,-903
Zysk (strata) przed opodatkowaniem,(3 881)
Zysk (strata) netto,(3 232)
Przepływy środków pieniężnych z działalności operacyjnej,-805
Przepływy środków pieniężnych z działalności inwestycyjnej,-4
Przepływy środków pieniężnych z działalności finansowej,802
Zwiększenie/zmniejszenie netto środków pieniężnych i ich ekwiwalentów,-7
średnia ważona liczba akcji zwykłych (w szt.),22 353 000
Zysk/strata na akcje w trakcie okresu (w zł na jedną akcję),"-0,1446"
