,na 31.12.2015 (000’ PLN)
Aktywa trwałe,31 185
Aktywa obrotowe,3 998
Aktywa razem,35 183
Zobowiązania długoterminowe,110
Zobowiązania krótkoterminowe,7 719
Kapitał własny,27 354
Kapitał podstawowy,22 353
Pasywa razem,35 183
Wartość księgowa na jedną akcję (w zł),"1,2237"
Zadeklarowana lub wypłacona dywidenda na jedną akcję,0
