,na 31.12.2015 (000’ PLN)
Aktywa trwałe,33 820
Aktywa obrotowe,149
Aktywa razem,33 969
Zobowiązania długoterminowe,4 005
Zobowiązania krótkoterminowe,3 573
Kapitał własny,26 391
Kapitał podstawowy,22 353
Pasywa razem,33 969
Wartość księgowa na jedną akcję (w zł),"1,1806"
Zadeklarowana lub wypłacona dywidenda na jedną akcję,0
