,na 31.12.2016 (000’ PLN)
Aktywa trwałe,32 350
Aktywa obrotowe,143
Aktywa razem,32 493
Zobowiązania długoterminowe,3 808
Zobowiązania krótkoterminowe,4 550
Kapitał własny,24 135
Kapitał podstawowy,22 353
Pasywa razem,32 493
Wartość księgowa na jedną akcję (w zł),"1,0797"
Zadeklarowana lub wypłacona dywidenda na jedną akcję,0
