,od 01.01.2016 do 31.12.2016 (000’ PLN)
Przychody netto ze sprzedaży,114
Zysk (strata) na działalności operacyjnej,-884
Zysk (strata) przed opodatkowaniem,(2 576)
Zysk (strata) netto,(2 256)
Przepływy środków pieniężnych z działalności operacyjnej,-800
Przepływy środków pieniężnych z działalności inwestycyjnej,-)
Przepływy środków pieniężnych z działalności finansowej,818
Zwiększenie/zmniejszenie netto środków pieniężnych i ich ekwiwalentów,18
średnia ważona liczba akcji zwykłych (w szt.),22 353 000
Zysk/strata na akcje w trakcie okresu (w zł na jedną akcję),"-0,1009"
